,name,car_ids,market_ids,cy,dr,at,ps,air,drv,prices,wght,dom,disp,hp,lngth,wdth,wb,mpg,sales,firm_ids,eu,re,sales*,dfi,ci,mpd,shares,clustering_ids,region,hpwt,space,trend,demand_instruments0,demand_instruments1,demand_instruments2,demand_instruments3,demand_instruments4,demand_instruments5,demand_instruments6,demand_instruments7,supply_instruments0,supply_instruments1,supply_instruments2,supply_instruments3,supply_instruments4,supply_instruments5,supply_instruments6,supply_instruments7,supply_instruments8,supply_instruments9,supply_instruments10,supply_instruments11
10,CDCALA,146,1971,8,4,1,1,0,-9,14.999999999999998,4.71,1,4.72,3.45,2.26,0.8,1.3,1.7239999999999998,8.481,19,0,3,8481,0,0,1.9181868131868132,0.00012719719239306498,CDCALA71,US,0.7324840764331211,1.8079999999999998,0,28.0,16.683195712824567,0.0,49.129615384615384,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.347722546574305,0.0,12.532540701062743,13.668758881484363,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.9181868131868132
11,CDDEVI,147,1971,8,4,1,1,0,-9,16.044444444444444,4.73,1,4.72,3.45,2.26,0.8,1.3,1.719,180.332,19,0,3,180332,0,0,1.9126236263736267,0.0027046013558101865,CDDEVI71,US,0.7293868921775898,1.8079999999999998,0,28.0,16.686292897080097,0.0,49.135178571428575,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.34348525209879,0.0,12.53544514690353,13.668758881484363,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.9126236263736267
12,CDELDR,148,1971,8,2,1,1,0,-9,18.229629629629628,4.675,1,5.0,3.65,2.22,0.8,1.27,1.814,35.613,19,0,3,35613,0,0,2.018324175824176,0.0005341202231687564,CDELDR71,US,0.7807486631016043,1.7760000000000002,0,28.0,16.634931126156083,0.0,49.02947802197802,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.411534228413112,0.0,12.481653521611296,13.686616498884367,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,2.018324175824176
13,CDFLTW,149,1971,8,4,1,1,0,-9,19.1679012345679,4.815,1,4.72,3.45,2.29,0.8,1.33,1.701,22.194,19,0,2,22194,0,0,1.892596153846154,0.0003328633991241226,CDFLTW71,US,0.7165109034267912,1.832,0,28.0,16.699168885830897,0.0,49.15520604395605,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.32567440935254,0.0,12.545971559890518,13.655571877202409,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.892596153846154
14,CVVEGA,150,1971,4,2,0,0,0,-9,5.160493827160494,2.146,1,1.4,0.9,1.7,0.66,0.97,1.988,267.033,19,0,2,267033,0,0,2.211923076923077,0.004004934309196712,CVVEGA71,US,0.41938490214352286,1.122,0,28.0,16.99629488711416,0.0,48.83587912087912,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-14.79007006369303,0.0,12.39005876506986,14.145867336353843,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,2.211923076923077
15,CVNOVA,151,1971,6,4,0,0,0,-9,5.938271604938271,2.976,1,2.5,1.45,1.9,0.73,1.11,1.6199999999999999,235.553,19,0,3,235553,0,0,1.8024725274725273,0.003532800407942888,CVNOVA71,US,0.48723118279569894,1.387,0,28.0,16.928448606461988,0.0,49.245329670329674,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-14.940019663021,0.0,12.59476172405995,13.933837002121653,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.8024725274725273
16,CVCHEV,153,1971,6,4,0,0,0,-9,6.609876543209876,3.21,1,2.5,1.45,2.02,0.76,1.16,1.512,335.378,19,0,3,335378,0,0,1.6823076923076923,0.00502996580478733,CVCHEV71,US,0.4517133956386293,1.5352000000000001,0,28.0,16.963966393619057,0.0,49.36549450549451,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-14.86432884284992,0.0,12.663754595546902,13.832319477742994,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.6823076923076923
17,CVCAMA,158,1971,6,2,0,0,0,-9,7.212345679012346,3.094,1,2.5,1.45,1.88,0.75,1.08,1.456,120.803,19,0,2,120803,0,0,1.6200000000000003,0.0018117913492111104,CVCAMA71,US,0.46864899806076277,1.41,0,28.0,16.947030791196923,0.0,49.4278021978022,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-14.90113502784097,0.0,12.701494923529747,13.91739043906427,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.6200000000000003
18,CVMNTC,160,1971,8,2,0,0,0,-9,8.434567901234567,3.488,1,3.5,2.45,2.07,0.76,1.16,1.442,145.787,19,0,2,145787,0,0,1.604423076923077,0.002186498890155378,CVMNTC71,US,0.702408256880734,1.5732,0,28.0,16.713271532376954,0.0,49.44337912087912,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.305795742069265,0.0,12.711156834441486,13.80786838187883,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.604423076923077
19,CVBISC,161,1971,6,4,0,0,0,-9,7.644444444444444,3.732,1,2.5,1.45,2.17,0.8,1.215,1.274,25.357,19,0,2,25357,0,0,1.4175,0.00038030175775391446,CVBISC71,US,0.3885316184351554,1.736,0,28.0,17.027148170822528,0.0,49.6303021978022,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-14.713655497006748,0.0,12.83502631615427,13.709396527216189,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.4175
20,CVBELA,163,1971,6,4,0,0,0,-9,7.982716049382716,3.732,1,2.5,1.45,2.17,0.8,1.215,1.274,48.786,19,0,2,48786,0,0,1.4175,0.0007316875637410762,CVBELA71,US,0.3885316184351554,1.736,0,28.0,17.027148170822528,0.0,49.6303021978022,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-14.713655497006748,0.0,12.83502631615427,13.709396527216189,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.4175
21,CVIMPA,165,1971,6,4,0,0,0,-9,8.37283950617284,3.76,1,2.5,1.45,2.17,0.8,1.215,1.264,577.313,19,0,2,577313,0,0,1.4063736263736266,0.008658482812406262,CVIMPA71,US,0.38563829787234044,1.736,0,28.0,17.030041491385347,0.0,49.64142857142857,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-14.706180822590042,0.0,12.842906577579576,13.709396527216189,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.4063736263736266
22,CVCAPR,167,1971,8,4,0,0,0,-9,10.207407407407407,4.04,1,4.0,2.55,2.17,0.8,1.215,1.315,139.272,19,0,2,139272,0,0,1.4631181318681319,0.0020887875697402363,CVCAPR71,US,0.6311881188118812,1.736,0,28.0,16.784491670445803,0.0,49.58468406593407,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.198884890756638,0.0,12.803351207674513,13.709396527216189,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.4631181318681319
23,CVCORV,169,1971,8,2,0,0,0,-9,13.661728395061727,3.202,1,3.5,2.7,1.83,0.69,0.98,1.6829999999999998,23.87,19,0,1,23870,0,0,1.8725686813186813,0.00035799988001679767,CVCORV71,US,0.8432229856339788,1.2627,0,28.0,16.57245680362371,0.0,49.17523351648352,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.488512381995122,0.0,12.556609958095574,14.02772785799185,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.8725686813186813
24,CRNEWP,170,1971,8,4,0,0,0,-9,10.345679012345677,4.171,1,3.83,2.75,2.25,0.8,1.24,1.374,69.197,16,0,2,69197,0,0,1.5287637362637363,0.0010378097066410703,CRNEWP71,US,0.6593143131143611,1.8,0,13.0,6.544924484898569,0.0,22.120343406593406,78.0,39.72126397930945,0.0,152.40906593406592,13.0,-9.322120361758632,0.0,5.39925951108263,5.660090437015897,78.0,-55.96779977030044,0.0,42.578198827291295,25.274703627911034,0,1.5287637362637363
25,CR300,171,1971,8,4,1,0,0,-9,11.572839506172839,4.321,1,4.4,3.35,2.25,0.8,1.24,1.49,7.98,16,0,2,7980,0,0,1.6578296703296704,0.00011968324434579158,CR30071,US,0.7752834991900024,1.8,0,13.0,6.4289552988229275,0.0,21.99127747252747,78.0,39.72126397930945,0.0,152.40906593406592,13.0,-9.48414875418214,0.0,5.31820958492542,5.660090437015897,78.0,-55.96779977030044,0.0,42.578198827291295,25.274703627911034,0,1.6578296703296704
26,CRNEWY,172,1971,8,4,1,1,0,-9,12.123456790123457,4.335,1,4.4,3.35,2.25,0.8,1.24,1.702,22.581,16,0,2,22581,0,0,1.893708791208791,0.0003386675865378847,CRNEWY71,US,0.7727797001153403,1.8,0,13.0,6.43145909789759,0.0,21.755398351648353,78.0,39.72126397930945,0.0,152.40906593406592,13.0,-9.48091400089943,0.0,5.185181674731606,5.660090437015897,78.0,-55.96779977030044,0.0,42.578198827291295,25.274703627911034,0,1.893708791208791
27,DGCOLT,173,1971,4,4,0,0,0,-9,4.925925925925926,2.02,1,0.975,1.0,1.64,0.62,0.953,2.0949999999999998,28.381,16,0,4,28381,0,0,2.330975274725275,0.000425655408242846,DGCOLT71,US,0.49504950495049505,1.0168,0,13.0,6.709189293062435,0.0,21.318131868131868,78.0,39.72126397930945,0.0,152.40906593406592,13.0,-9.035577753881848,0.0,4.977432151508687,6.2312166610249085,78.0,-55.96779977030044,0.0,42.578198827291295,25.274703627911034,0,2.330975274725275
28,DGDART,177,1971,6,4,0,0,0,-9,6.049382716049382,2.9,1,1.98,1.25,1.97,0.7,1.11,1.752,208.085,16,0,4,208085,0,0,1.9493406593406593,0.0031208380826684263,DGDART71,US,0.4310344827586207,1.379,0,13.0,6.7732043152543095,0.0,21.699766483516484,78.0,39.72126397930945,0.0,152.40906593406592,13.0,-8.897108079616743,0.0,5.1562277123685885,5.926518503106851,78.0,-55.96779977030044,0.0,42.578198827291295,25.274703627911034,0,1.9493406593406593
29,DGCHLN,179,1971,6,2,0,0,0,-9,6.733333333333333,3.02,1,1.98,1.25,1.92,0.77,1.1,1.4869999999999999,29.356,16,0,1,29356,0,0,1.6544917582417582,0.0004402783610294559,DGCHLN71,US,0.4139072847682119,1.4784,0,13.0,6.790331513244718,0.0,21.994615384615386,78.0,39.72126397930945,0.0,152.40906593406592,13.0,-8.856561985222392,0.0,5.32022503740477,5.856916680012733,78.0,-55.96779977030044,0.0,42.578198827291295,25.274703627911034,0,1.6544917582417582
30,DGCORN,181,1971,6,4,0,0,0,-9,6.85679012345679,3.245,1,2.25,1.45,2.07,0.78,1.18,1.451,123.147,16,0,3,123147,0,0,1.614436813186813,0.00184694642750015,DGCORN71,US,0.4468412942989214,1.6146,0,13.0,6.757397503714008,0.0,22.03467032967033,78.0,39.72126397930945,0.0,152.40906593406592,13.0,-8.93312347157139,0.0,5.344732730980737,5.768789853939238,78.0,-55.96779977030044,0.0,42.578198827291295,25.274703627911034,0,1.614436813186813
31,DGCHAR,184,1971,6,2,0,0,0,-9,6.6839506172839505,3.215,1,2.25,1.45,2.06,0.77,1.15,1.3880000000000001,4.012,16,0,2,4012,0,0,1.5443406593406594,6.017157597936289e-05,DGCHAR71,US,0.4510108864696734,1.5862,0,13.0,6.753227911543257,0.0,22.104766483516485,78.0,39.72126397930945,0.0,152.40906593406592,13.0,-8.942411464037862,0.0,5.3891218427981755,5.7865358832509335,78.0,-55.96779977030044,0.0,42.578198827291295,25.274703627911034,0,1.5443406593406594
32,DGPOLA,186,1971,6,4,0,0,0,-9,8.143209876543208,3.755,1,2.25,1.45,2.21,0.8,1.22,1.239,71.802,16,0,2,71802,0,0,1.3785576923076923,0.001076879236906833,DGPOLA71,US,0.38615179760319573,1.768,0,13.0,6.818087000409735,0.0,22.270549450549453,78.0,39.72126397930945,0.0,152.40906593406592,13.0,-8.787150536511346,0.0,5.502681102235782,5.678028137702564,78.0,-55.96779977030044,0.0,42.578198827291295,25.274703627911034,0,1.3785576923076923
33,DGMONA,188,1971,8,4,0,0,0,-9,10.42716049382716,4.05,1,3.83,2.75,2.21,0.8,1.22,1.399,18.265,16,0,2,18265,0,0,1.5565796703296704,0.0002739366488691583,DGMONA71,US,0.6790123456790124,1.768,0,13.0,6.525226452333918,0.0,22.092527472527472,78.0,39.72126397930945,0.0,152.40906593406592,13.0,-9.351559295854994,0.0,5.381228009199444,5.678028137702564,78.0,-55.96779977030044,0.0,42.578198827291295,25.274703627911034,0,1.5565796703296704
34,FDPINT,190,1971,4,2,0,0,0,-9,4.738271604938271,1.949,1,0.986,0.75,1.63,0.7,0.94,2.037,328.275,18,0,3,328275,0,0,2.2664423076923077,0.00492343571899934,FDPINT71,US,0.38481272447408926,1.1409999999999998,0,14.0,7.72281622602724,0.0,24.6215521978022,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-8.831066026287461,0.0,6.268088138696938,6.781663923887056,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,2.2664423076923077
35,FDMAVE,192,1971,6,4,0,0,0,-9,5.518518518518518,2.603,1,1.7,1.0,1.87,0.71,1.099,1.9149999999999998,247.626,18,0,4,247626,0,0,2.130700549450549,0.003713870058191853,FDMAVE71,US,0.384172109104879,1.3277,0,14.0,7.723456841396451,0.0,24.757293956043956,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-8.829399893252237,0.0,6.329848653308997,6.630120872847273,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,2.130700549450549
36,FDTORI,194,1971,6,4,0,0,0,-9,6.59753086419753,3.123,1,2.5,1.45,2.07,0.77,1.17,1.538,268.726,18,0,3,268726,0,0,1.711236263736264,0.004030325754394385,FDTORI71,US,0.46429715017611267,1.5938999999999999,0,14.0,7.643331800325218,0.0,25.17675824175824,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-9.018833997396207,0.0,6.5490834048581545,6.447385151624124,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,1.711236263736264
37,FDMUST,197,1971,6,2,0,0,0,-9,7.1876543209876536,2.913,1,2.5,1.45,1.9,0.75,1.09,1.557,122.933,18,0,3,122933,0,0,1.7323763736263735,0.001843736876837243,FDMUST71,US,0.4977686234122898,1.4249999999999998,0,14.0,7.609860327089041,0.0,25.155618131868135,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-9.088444597719851,0.0,6.536805383089746,6.55939718104638,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,1.7323763736263735
38,FDCUST,201,1971,6,4,0,0,0,-9,8.118518518518519,3.675,1,2.4,1.4,2.17,0.8,1.21,1.311,33.945,18,0,3,33945,0,0,1.4586675824175823,0.000509103725478433,FDCUST71,US,0.38095238095238093,1.736,0,14.0,7.726676569548949,0.0,25.429326923076925,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-8.820983623221078,0.0,6.708776071160044,6.361985378528836,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,1.4586675824175823
39,FDGALA,203,1971,6,4,0,0,0,-9,8.874074074074073,3.715,1,2.4,1.4,2.17,0.8,1.21,1.2970000000000002,220.572,18,0,3,220572,0,0,1.4430906593406596,0.0033081168636390906,FDGALA71,US,0.3768506056527591,1.736,0,14.0,7.730778344848571,0.0,25.444903846153846,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-8.810158077716157,0.0,6.7195123706073,6.361985378528836,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,1.4430906593406596
40,FDLTD,205,1971,8,4,0,0,0,-9,9.706172839506173,3.981,1,3.51,2.4,2.17,0.8,1.21,1.301,321.053,18,0,3,321053,0,0,1.447541208791209,0.00481512088307637,FDLTD71,US,0.6028636021100227,1.736,0,14.0,7.504765348391309,0.0,25.4404532967033,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-9.280000212600386,0.0,6.716433076411239,6.361985378528836,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,1.447541208791209
41,FDTHNB,207,1971,8,2,1,1,0,-9,13.074074074074073,4.389,1,4.29,3.6,2.15,0.78,1.15,1.843,38.489,18,0,3,38489,0,0,2.050590659340659,0.000577254184414182,FDTHNB71,US,0.8202323991797675,1.677,0,14.0,7.287396551321563,0.0,24.837403846153844,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-9.587896954020634,0.0,6.36817159725392,6.3965625119259215,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,2.050590659340659
42,LCCONT,209,1971,8,4,1,1,0,-9,18.31851851851852,5.072,1,4.6,3.65,2.25,0.8,1.27,1.8690000000000002,35.802,18,0,4,35802,0,0,2.079519230769231,0.0005369548263243146,LCCONT71,US,0.7196372239747634,1.8,0,14.0,7.387991726526567,0.0,24.80847527472528,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-9.457056469724142,0.0,6.354162747468181,6.325782329864873,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,2.079519230769231
43,LCMRKI,210,1971,8,2,1,1,0,-9,21.76049382716049,5.003,1,4.6,3.65,2.17,0.8,1.18,1.7710000000000001,29.828,18,0,4,29828,0,0,1.9704807692307693,0.00044735736996820446,LCMRKI71,US,0.7295622626424145,1.736,0,14.0,7.378066687858916,0.0,24.91751373626374,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-9.470753954352999,0.0,6.4080219171409105,6.361985378528834,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,1.9704807692307693
44,MCCOME,212,1971,6,4,0,0,0,-9,5.637037037037037,2.612,1,1.7,1.0,1.89,0.71,1.1,1.9120000000000001,62.373,18,0,4,62373,0,0,2.1273626373626375,0.0009354640350350952,MCCOME71,US,0.3828483920367534,1.3418999999999999,0,14.0,7.724780558464577,0.0,24.76063186813187,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-8.825948307850481,0.0,6.331416461312397,6.6194824746422185,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,2.1273626373626375
45,MCMONT,214,1971,6,4,0,0,0,-9,6.859259259259259,3.228,1,2.5,1.45,2.1,0.78,1.17,1.482,57.427,18,0,3,57427,0,0,1.6489285714285713,0.0008612844201811747,MCMONT71,US,0.44919454770755884,1.6380000000000001,0,14.0,7.658434402793771,0.0,25.239065934065938,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-8.985765325289448,0.0,6.5861737490677115,6.4200930093361155,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,1.6489285714285713
46,MCCOUG,216,1971,8,2,0,0,0,-9,8.120987654320988,3.331,1,3.51,2.4,1.97,0.76,1.13,1.49,49.847,18,0,3,49847,0,0,1.6578296703296704,0.0007476003359529666,MCCOUG71,US,0.720504353047133,1.4972,0,14.0,7.387124597454197,0.0,25.230164835164835,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-9.458260697407024,0.0,6.580790155984239,6.509972297718857,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,1.6578296703296704
47,MCMONT,217,1971,8,4,0,0,0,-9,9.525925925925925,4.029,1,3.51,2.4,2.25,0.8,1.24,1.378,31.265,18,0,4,31265,0,0,1.5332142857142856,0.00046890935269062334,MCMONT71,US,0.5956813104988831,1.8,0,14.0,7.511947640002447,0.0,25.35478021978022,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-9.268015050409357,0.0,6.65893310335014,6.325782329864875,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,1.5332142857142856
48,MCMARQ,218,1971,8,4,0,0,0,-9,11.046913580246914,4.346,1,4.29,2.6,2.25,0.8,1.24,1.465,75.197,18,0,5,75197,0,0,1.6300137362637366,0.0011277971084048234,MCMARQ71,US,0.5982512655315233,1.8,0,14.0,7.509377684969807,0.0,25.25798076923077,77.0,38.81787382682105,0.0,149.17017857142858,14.0,-9.272320082457865,0.0,6.597711033472576,6.325782329864875,77.0,-55.92041051633074,0.0,41.31561825623247,24.609011735062055,0,1.6300137362637366
49,ODCUTL,221,1971,6,4,0,0,0,-9,7.404938271604937,3.252,1,2.5,1.45,2.08,0.77,1.16,1.6760000000000002,251.14,19,0,5,251140,0,0,1.86478021978022,0.0037665726798248246,ODCUTL71,US,0.44587945879458796,1.6016000000000001,0,28.0,16.969800330463094,0.0,49.18302197802198,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-14.851329588306282,0.0,12.560777871244351,13.789977013875529,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.86478021978022
50,ODDELT,224,1971,8,4,0,1,0,-9,9.839506172839505,4.15,1,3.5,2.4,2.21,0.8,1.24,1.5550000000000002,113.352,19,0,4,113352,0,0,1.7301510989010989,0.0017000419941208232,ODDELT71,US,0.5783132530120482,1.768,0,28.0,16.83736653624564,0.0,49.3176510989011,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.111396626670654,0.0,12.635712327673044,13.691131179238896,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.7301510989010989
51,OD98,226,1971,8,4,1,1,0,-9,11.980246913580245,4.467,1,4.55,3.2,2.27,0.79,1.27,1.674,113.296,19,0,4,113296,0,0,1.862554945054945,0.0016992021117043614,OD9871,US,0.7163644504141483,1.7933000000000001,0,28.0,16.69931533884354,0.0,49.18524725274725,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.32546999099506,0.0,12.561971901236959,13.676922645482106,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.862554945054945
52,ODTORN,227,1971,8,2,1,1,0,-9,13.474074074074073,4.522,1,4.55,3.5,2.2,0.8,1.23,1.7260000000000002,38.721,19,0,3,38721,0,0,1.9204120879120883,0.0005807336972823804,ODTORN71,US,0.7739938080495355,1.7600000000000002,0,28.0,16.641685981208152,0.0,49.127390109890115,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.402844818198952,0.0,12.531381280643007,13.695666334404287,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.9204120879120883
